iter	RMSE
0	97.51904675
1	96.11032357
2	94.76891544
3	93.31380179
4	91.98596295
5	90.76326916
6	89.53324933
7	88.33319834
8	87.2208091
9	86.18164416
10	84.875715
11	83.61004892
12	82.43452148
13	81.25186907
14	80.27500503
15	79.16495729
16	78.02283034
17	76.96518438
18	75.82563169
19	74.71583661
20	73.76102612
21	72.6721578
22	71.6179422
23	70.60594427
24	69.61426999
25	68.68264879
26	67.73517408
27	66.90737866
28	66.08823506
29	65.16603672
30	64.29708062
31	63.42509392
32	62.52319459
33	61.66170525
34	60.88410636
35	60.14677874
36	59.43266408
37	58.6244258
38	57.92302323
39	57.18806713
40	56.42174487
41	55.73556438
42	55.06411737
43	54.33955941
44	53.65130855
45	52.90579995
46	52.1923527
47	51.55700353
48	50.90798729
49	50.27355683
50	49.67013239
51	49.09083406
52	48.48128022
53	47.84762293
54	47.25508076
55	46.66926386
56	46.10033223
57	45.5735939
58	45.03326774
59	44.48709992
60	43.9325125
61	43.43969091
62	42.93776861
63	42.4775273
64	41.9795004
65	41.48692089
66	40.99536839
67	40.516014
68	40.05134675
69	39.58202249
70	39.17735351
71	38.69239258
72	38.27093281
73	37.85419489
74	37.4242365
75	37.02400506
76	36.61335214
77	36.20319383
78	35.78950129
79	35.3816592
80	34.99474335
81	34.59228622
82	34.20908559
83	33.84581453
84	33.46544112
85	33.0814726
86	32.71198049
87	32.36192679
88	31.97036884
89	31.66595081
90	31.34358705
91	30.98136278
92	30.62478169
93	30.27375085
94	29.92622955
95	29.57394116
96	29.2372197
97	28.92139987
98	28.60412791
99	28.27820159
100	27.95959565
101	27.64289296
102	27.34527117
103	27.05616839
104	26.74865307
105	26.44420539
106	26.16834061
107	25.87180393
108	25.58473897
109	25.29647452
110	25.01184183
111	24.72919462
112	24.46832023
113	24.19837582
114	23.93448323
115	23.68402164
116	23.42079784
117	23.16588547
118	22.9249125
119	22.67516231
120	22.4230077
121	22.17866693
122	21.94748898
123	21.70770742
124	21.47622194
125	21.24996515
126	21.03623416
127	20.80629779
128	20.58189947
129	20.35977545
130	20.14726863
131	19.92686625
132	19.70596491
133	19.48919991
134	19.28242863
135	19.08116313
136	18.87019314
137	18.66624089
138	18.46230309
139	18.26024714
140	18.06537286
141	17.88463642
142	17.71096719
143	17.51624935
144	17.33151145
145	17.14244097
146	16.96437696
147	16.78888774
148	16.60883048
149	16.43145155
150	16.2535897
151	16.08233937
152	15.91402442
153	15.74710433
154	15.57877908
155	15.41199571
156	15.2449792
157	15.08242645
158	14.92495117
159	14.76738705
160	14.6120237
161	14.46808013
162	14.31933575
163	14.17289626
164	14.04503908
165	13.89633707
166	13.74895957
167	13.60657129
168	13.46464798
169	13.33046295
170	13.19465541
171	13.05987765
172	12.92114823
173	12.79089134
174	12.66081431
175	12.53170447
176	12.4133574
177	12.28485529
178	12.1640328
179	12.05632043
180	11.92980062
181	11.805059
182	11.68505916
183	11.57232729
184	11.45545138
185	11.34118299
186	11.22312819
187	11.11033267
188	11.00135591
189	10.88597388
190	10.78264975
191	10.67417787
192	10.56422441
193	10.45793436
194	10.35272127
195	10.24824705
196	10.14427318
197	10.04173028
198	9.937814105
199	9.83768426
200	9.739501205
201	9.640570071
202	9.542363362
203	9.447674955
204	9.352233861
205	9.261380212
206	9.168171759
207	9.075739272
208	8.985727848
209	8.896353069
210	8.806753551
211	8.721973011
212	8.634997503
213	8.550452145
214	8.46416604
215	8.385954108
216	8.299647426
217	8.216862515
218	8.138952976
219	8.058551344
220	7.980611798
221	7.902939331
222	7.825636554
223	7.748807105
224	7.674257901
225	7.599962208
226	7.527920193
227	7.457085835
